project_role_id,project_id,personnel_id,role_code,key_personnel,funding_award_id,source_system
PROJECT-V200801:V00465203:PI,PROJECT-V200801,V00465203,PI,Y,,Banner Grant Listing Report
PROJECT-V200804:V00872442:PI,PROJECT-V200804,V00872442,PI,Y,,Banner Grant Listing Report
PROJECT-V200818:V00620337:PI,PROJECT-V200818,V00620337,PI,Y,,Banner Grant Listing Report
PROJECT-V200826:V00448273:PI,PROJECT-V200826,V00448273,PI,Y,,Banner Grant Listing Report
PROJECT-V200846:V00603119:PI,PROJECT-V200846,V00603119,PI,Y,,Banner Grant Listing Report
PROJECT-V200848:V00653443:PI,PROJECT-V200848,V00653443,PI,Y,,Banner Grant Listing Report
PROJECT-V200852:V00705424:PI,PROJECT-V200852,V00705424,PI,Y,,Banner Grant Listing Report
PROJECT-V200862:V00600881:PI,PROJECT-V200862,V00600881,PI,Y,,Banner Grant Listing Report
PROJECT-V200863:V00753261:PI,PROJECT-V200863,V00753261,PI,Y,,Banner Grant Listing Report
PROJECT-V200866:V00092403:PI,PROJECT-V200866,V00092403,PI,Y,,Banner Grant Listing Report
PROJECT-V200868:V00557395:PI,PROJECT-V200868,V00557395,PI,Y,,Banner Grant Listing Report
PROJECT-V200888:V00600816:PI,PROJECT-V200888,V00600816,PI,Y,,Banner Grant Listing Report
PROJECT-V200890:V00487150:PI,PROJECT-V200890,V00487150,PI,Y,,Banner Grant Listing Report
PROJECT-V200911:V00349140:PI,PROJECT-V200911,V00349140,PI,Y,,Banner Grant Listing Report
PROJECT-V200943:V00742471:PI,PROJECT-V200943,V00742471,PI,Y,,Banner Grant Listing Report
PROJECT-V200960:V00017256:PI,PROJECT-V200960,V00017256,PI,Y,,Banner Grant Listing Report
PROJECT-V200993:V00437510:PI,PROJECT-V200993,V00437510,PI,Y,,Banner Grant Listing Report
PROJECT-V200994:V00773670:PI,PROJECT-V200994,V00773670,PI,Y,,Banner Grant Listing Report
PROJECT-V201012:V00983683:PI,PROJECT-V201012,V00983683,PI,Y,,Banner Grant Listing Report
PROJECT-V201035:V00006579:PI,PROJECT-V201035,V00006579,PI,Y,,Banner Grant Listing Report
PROJECT-V201041:V00412889:PI,PROJECT-V201041,V00412889,PI,Y,,Banner Grant Listing Report
PROJECT-V201052:V00602850:PI,PROJECT-V201052,V00602850,PI,Y,,Banner Grant Listing Report
PROJECT-V201060:V00799434:PI,PROJECT-V201060,V00799434,PI,Y,,Banner Grant Listing Report
PROJECT-V201078:V00452781:PI,PROJECT-V201078,V00452781,PI,Y,,Banner Grant Listing Report
PROJECT-V201086:V00785646:PI,PROJECT-V201086,V00785646,PI,Y,,Banner Grant Listing Report
PROJECT-V201095:V00466694:PI,PROJECT-V201095,V00466694,PI,Y,,Banner Grant Listing Report
PROJECT-V201102:V00006759:PI,PROJECT-V201102,V00006759,PI,Y,,Banner Grant Listing Report
PROJECT-V201103:V00006759:PI,PROJECT-V201103,V00006759,PI,Y,,Banner Grant Listing Report
PROJECT-V201105:V00353221:PI,PROJECT-V201105,V00353221,PI,Y,,Banner Grant Listing Report
PROJECT-V201118:V00483144:PI,PROJECT-V201118,V00483144,PI,Y,,Banner Grant Listing Report
PROJECT-V201119:V00701182:PI,PROJECT-V201119,V00701182,PI,Y,,Banner Grant Listing Report
PROJECT-V201121:V00234269:PI,PROJECT-V201121,V00234269,PI,Y,,Banner Grant Listing Report
PROJECT-V201126:V00019889:PI,PROJECT-V201126,V00019889,PI,Y,,Banner Grant Listing Report
PROJECT-V201138:V00848443:PI,PROJECT-V201138,V00848443,PI,Y,,Banner Grant Listing Report
PROJECT-V201142:V00605746:PI,PROJECT-V201142,V00605746,PI,Y,,Banner Grant Listing Report
PROJECT-V201150:V00004271:PI,PROJECT-V201150,V00004271,PI,Y,,Banner Grant Listing Report
PROJECT-V201158:V00606146:PI,PROJECT-V201158,V00606146,PI,Y,,Banner Grant Listing Report
PROJECT-V201160:V01130929:PI,PROJECT-V201160,V01130929,PI,Y,,Banner Grant Listing Report
PROJECT-V201178:V00445866:PI,PROJECT-V201178,V00445866,PI,Y,,Banner Grant Listing Report
PROJECT-V201188:V00327806:PI,PROJECT-V201188,V00327806,PI,Y,,Banner Grant Listing Report
PROJECT-V201192:V00011050:PI,PROJECT-V201192,V00011050,PI,Y,,Banner Grant Listing Report
PROJECT-V201207:V00525119:PI,PROJECT-V201207,V00525119,PI,Y,,Banner Grant Listing Report
PROJECT-V201224:V01130929:PI,PROJECT-V201224,V01130929,PI,Y,,Banner Grant Listing Report
PROJECT-V201259:V00004271:PI,PROJECT-V201259,V00004271,PI,Y,,Banner Grant Listing Report
PROJECT-V201264:V00426481:PI,PROJECT-V201264,V00426481,PI,Y,,Banner Grant Listing Report
PROJECT-V201281:V00983683:PI,PROJECT-V201281,V00983683,PI,Y,,Banner Grant Listing Report
PROJECT-V201292:V00610861:PI,PROJECT-V201292,V00610861,PI,Y,,Banner Grant Listing Report
PROJECT-V201310:V00532807:PI,PROJECT-V201310,V00532807,PI,Y,,Banner Grant Listing Report
PROJECT-V201325:V00776290:PI,PROJECT-V201325,V00776290,PI,Y,,Banner Grant Listing Report
PROJECT-V201328:V00865990:PI,PROJECT-V201328,V00865990,PI,Y,,Banner Grant Listing Report
PROJECT-V201337:V00547118:PI,PROJECT-V201337,V00547118,PI,Y,,Banner Grant Listing Report
PROJECT-V210016:V00464574:PI,PROJECT-V210016,V00464574,PI,Y,,Banner Grant Listing Report
PROJECT-V210034:V00423847:PI,PROJECT-V210034,V00423847,PI,Y,,Banner Grant Listing Report
PROJECT-V210038:V00436376:PI,PROJECT-V210038,V00436376,PI,Y,,Banner Grant Listing Report
PROJECT-V210039:V00547212:PI,PROJECT-V210039,V00547212,PI,Y,,Banner Grant Listing Report
PROJECT-V210041:V00160407:PI,PROJECT-V210041,V00160407,PI,Y,,Banner Grant Listing Report
PROJECT-V210042:V00230357:PI,PROJECT-V210042,V00230357,PI,Y,,Banner Grant Listing Report
PROJECT-V210045:V00448273:PI,PROJECT-V210045,V00448273,PI,Y,,Banner Grant Listing Report
PROJECT-V210059:V00913009:PI,PROJECT-V210059,V00913009,PI,Y,,Banner Grant Listing Report
PROJECT-V210060:V00604685:PI,PROJECT-V210060,V00604685,PI,Y,,Banner Grant Listing Report
PROJECT-V210074:V00663068:PI,PROJECT-V210074,V00663068,PI,Y,,Banner Grant Listing Report
PROJECT-V210079:V00006746:PI,PROJECT-V210079,V00006746,PI,Y,,Banner Grant Listing Report
